self_extraversion_score,self_agreeableness_score,self_conscientiousness_score,self_neuroticism_score,self_openness_score,partner_extraversion_score,partner_agreeableness_score,partner_conscientiousness_score,partner_neuroticism_score,partner_openness_score,position,score,do_accept_first,do_agreement,not_walkaway
5.0,2.5,2.0,3.0,3.0,3.0,1.5,3.5,4.0,4.5,seller,50.0,False,1,1
4.0,3.5,2.5,3.0,3.5,4.5,3.0,2.5,3.0,3.5,seller,40.0,False,1,1
4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.5,3.0,3.0,seller,15.0,,0,1
4.5,2.5,2.0,3.5,3.5,4.5,3.5,2.5,2.5,3.0,seller,50.0,True,1,1
4.0,4.0,1.5,2.5,3.0,4.0,2.0,2.5,3.5,4.0,seller,20.0,False,1,1
4.0,1.5,3.0,4.5,4.5,3.0,3.0,5.0,3.0,3.0,seller,0.0,,0,1
4.5,3.0,4.0,4.5,3.5,3.0,2.0,3.0,4.0,4.0,seller,100.0,False,1,1
4.0,3.0,3.0,3.0,3.0,4.5,2.0,1.5,3.5,4.0,seller,15.0,,0,1
4.0,3.0,4.0,3.5,3.0,4.5,3.5,2.0,2.5,5.0,seller,50.0,False,1,1
3.0,1.0,2.5,3.5,2.5,5.0,4.0,2.0,3.5,5.0,seller,10.0,,0,1
4.0,3.0,4.0,3.0,3.0,3.5,1.5,1.5,3.0,4.0,seller,50.0,False,1,1
4.0,3.0,2.5,3.0,5.0,5.0,3.5,2.5,4.0,4.0,seller,30.0,,0,0
3.0,2.0,1.5,3.5,5.0,4.5,4.0,2.0,2.5,3.5,seller,75.0,False,1,1
3.0,3.0,4.0,4.0,5.0,4.5,3.0,1.0,3.5,3.0,seller,50.0,True,1,1
2.5,4.0,4.0,3.0,4.5,4.5,2.5,3.5,3.0,3.0,seller,20.0,True,1,1
3.0,3.0,3.0,3.0,3.0,4.0,3.5,3.5,3.5,3.5,seller,30.0,True,1,1
3.0,4.0,3.0,3.5,2.5,5.0,3.0,3.0,3.0,3.0,seller,33.0,,0,0
3.0,2.5,2.5,3.5,3.0,4.0,3.0,3.0,3.0,3.0,seller,65.0,True,1,1
4.5,2.5,4.5,4.0,3.5,5.0,2.0,1.0,1.0,5.0,seller,96.0,False,1,1
3.0,3.0,2.5,3.5,2.5,3.5,2.5,3.5,3.0,2.5,seller,60.0,False,1,1
3.5,2.0,3.5,4.0,3.0,2.0,1.0,2.0,4.5,3.5,seller,75.0,False,1,1
3.0,3.0,2.0,4.5,3.0,3.0,3.0,3.5,3.0,4.0,seller,50.0,True,1,1
3.5,2.5,3.5,3.5,3.0,5.0,3.5,4.0,2.5,3.0,seller,35.0,True,1,1
4.0,3.0,3.5,4.0,1.5,4.0,3.5,3.5,4.0,4.0,seller,5.0,False,1,1
4.5,3.0,3.0,4.5,4.5,5.0,3.0,4.0,3.0,4.0,seller,25.0,False,1,1
3.5,3.0,3.5,3.0,4.0,2.0,2.5,2.5,4.0,4.0,seller,25.0,False,1,1
2.5,3.0,3.0,3.5,3.5,4.5,3.5,2.5,3.5,4.5,seller,65.0,False,1,1
4.5,3.0,2.0,4.0,4.5,3.5,2.5,4.0,2.5,3.5,seller,25.0,True,1,1
4.0,1.5,3.0,3.5,2.5,3.0,1.0,5.0,5.0,3.0,seller,20.0,,0,1
4.0,4.5,2.5,3.5,3.5,2.5,2.0,2.5,4.5,3.0,seller,55.0,False,1,1
5.0,3.0,3.0,5.0,3.0,5.0,3.0,4.5,3.0,3.0,seller,40.0,False,1,1
3.5,3.0,4.0,2.5,3.0,3.0,3.5,3.5,3.0,4.0,seller,40.0,False,1,1
4.0,2.0,3.0,4.0,4.5,4.0,3.5,3.0,1.0,4.0,seller,70.0,False,1,1
4.5,3.5,3.5,3.0,3.5,4.5,5.0,3.0,3.5,4.5,seller,25.0,False,1,1
4.0,4.0,3.5,4.0,4.0,4.5,3.0,2.5,4.5,4.0,seller,40.0,,0,0
3.5,3.5,3.0,3.5,3.5,5.0,4.5,2.0,2.0,4.5,seller,85.0,True,1,1
4.5,3.0,3.5,3.5,3.5,3.5,4.5,4.0,2.5,4.0,seller,55.0,False,1,1
4.5,3.5,2.0,4.0,4.5,5.0,3.5,3.0,3.5,4.0,seller,25.0,True,1,1
4.5,3.0,2.5,3.5,5.0,3.5,5.0,3.0,3.0,3.0,seller,90.0,False,1,1
5.0,4.0,3.0,3.5,3.0,3.5,4.0,2.0,2.5,3.0,seller,75.0,True,1,1
3.5,3.0,4.0,4.0,3.0,3.5,3.0,3.5,3.5,4.5,seller,50.0,True,1,1
4.0,4.0,2.0,4.0,2.5,4.5,4.0,3.0,3.5,4.0,seller,80.0,False,1,1
4.5,2.5,1.5,3.0,4.0,4.0,3.5,3.0,3.0,4.0,seller,70.0,False,1,1
4.5,4.0,3.0,3.5,4.5,5.0,4.5,2.0,4.0,3.5,seller,40.0,True,1,1
4.0,3.0,2.5,3.5,2.5,4.5,4.0,3.0,3.5,5.0,seller,65.0,True,1,1
4.5,2.0,2.5,4.0,5.0,5.0,2.5,2.0,3.5,3.5,seller,62.5,True,1,1
3.5,2.0,3.0,3.0,4.5,4.0,3.5,2.5,3.0,4.0,seller,0.0,False,1,1
3.5,2.0,3.5,3.5,4.5,3.0,4.0,2.0,4.5,3.0,seller,80.0,False,1,1
4.5,2.0,3.0,3.5,4.0,5.0,2.5,2.5,2.5,4.0,seller,50.0,False,1,1
3.5,4.5,1.5,4.0,5.0,3.0,2.0,2.0,2.5,3.0,seller,60.0,True,1,1
4.0,3.0,3.0,4.5,3.5,5.0,2.0,3.5,2.5,3.0,seller,65.0,True,1,1
5.0,3.0,3.5,4.0,5.0,4.0,3.0,2.0,3.0,3.5,seller,80.0,True,1,1
4.5,3.0,3.0,2.5,4.0,4.0,2.0,2.0,3.5,4.0,seller,10.0,,0,0
3.0,1.5,3.0,3.5,4.5,3.0,4.5,2.0,4.0,4.5,seller,75.0,True,1,1
3.5,3.0,4.5,4.5,4.0,5.0,2.5,4.0,4.0,4.5,seller,35.0,,0,1
5.0,3.0,2.0,4.5,3.0,4.0,2.5,2.0,3.0,5.0,seller,60.0,False,1,1
4.0,2.0,1.0,3.0,4.0,4.5,2.5,3.5,3.5,4.5,seller,90.0,False,1,1
3.0,2.5,2.5,3.0,4.5,4.0,4.5,2.5,3.0,2.5,seller,40.0,False,1,1
4.5,3.5,4.0,2.5,3.0,3.0,3.5,3.5,2.5,4.0,seller,90.0,False,1,1
3.0,4.5,2.5,4.0,5.0,3.0,3.0,2.5,4.0,3.5,seller,15.0,False,1,1
3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.5,3.0,3.5,seller,70.0,False,1,1
4.5,4.0,3.5,4.0,4.5,5.0,3.0,1.0,3.0,3.0,seller,85.0,True,1,1
4.5,3.0,3.0,4.0,3.5,3.0,4.0,3.0,3.0,3.0,seller,10.0,,0,1
4.0,3.0,3.0,3.0,3.0,3.0,1.5,1.0,4.0,4.5,seller,63.5,False,1,1
4.0,2.0,3.0,3.5,4.5,4.5,3.5,3.0,3.5,4.0,seller,90.0,True,1,1
4.0,2.5,2.5,3.0,3.5,5.0,3.0,2.5,2.5,4.0,seller,45.0,False,1,1
4.0,3.0,2.5,3.0,3.0,4.5,3.0,2.0,2.5,4.5,seller,50.0,False,1,1
4.5,1.5,2.5,3.5,2.0,3.5,3.5,2.5,3.5,3.0,seller,60.0,False,1,1
4.0,2.5,1.5,2.5,2.5,3.5,3.0,4.5,3.0,4.5,seller,55.0,False,1,1
4.5,2.5,2.5,3.5,4.5,4.0,2.5,3.0,3.0,4.0,seller,20.0,True,1,1
3.0,3.0,2.0,4.5,5.0,4.0,3.0,2.0,4.0,3.5,seller,80.0,False,1,1
3.0,1.5,3.0,4.5,3.5,4.0,3.5,3.5,2.5,3.5,seller,20.0,True,1,1
3.0,3.0,2.5,4.0,2.5,4.0,2.5,1.5,4.5,4.5,seller,55.0,False,1,1
3.5,2.0,2.0,4.5,4.0,1.5,1.0,2.0,3.5,5.0,seller,25.0,False,1,1
3.5,4.0,3.5,3.5,3.0,4.0,3.0,3.0,3.0,3.0,seller,70.0,False,1,1
3.5,2.0,2.5,4.5,4.5,4.5,2.5,2.5,3.5,3.0,seller,80.0,False,1,1
3.5,3.0,3.0,4.0,3.0,4.0,3.0,3.5,3.5,2.5,seller,80.0,True,1,1
3.5,4.0,2.5,4.5,4.5,3.0,2.0,2.0,4.0,4.0,seller,70.0,False,1,1
5.0,3.0,5.0,3.0,2.5,4.0,3.0,2.5,3.5,3.5,seller,80.0,False,1,1
4.5,5.0,3.0,2.5,3.5,3.0,3.5,2.0,2.0,3.5,seller,80.0,True,1,1
2.5,2.5,3.5,3.5,3.5,4.0,3.0,3.0,3.0,4.0,seller,90.0,False,1,1
4.5,5.0,1.5,2.0,3.5,4.0,4.0,2.5,3.0,3.5,seller,15.0,,0,0
4.5,2.5,3.5,2.5,3.5,4.5,2.5,2.5,3.5,4.0,seller,65.0,True,1,1
3.5,2.5,2.0,3.5,3.5,4.0,5.0,1.0,3.5,4.5,seller,75.0,True,1,1
3.5,3.5,3.5,4.5,3.5,4.0,3.0,2.5,4.5,3.5,seller,70.0,True,1,1
3.0,3.0,2.0,4.0,4.0,2.0,3.0,3.0,3.5,3.5,seller,100.0,False,1,1
3.5,3.0,1.0,2.5,4.5,3.5,3.5,2.5,3.0,3.5,seller,80.0,False,1,1
3.0,2.0,2.5,4.0,4.0,3.5,3.0,4.5,3.5,4.0,seller,0.0,,0,1
2.5,4.0,1.5,2.5,3.5,5.0,3.0,1.5,3.0,3.0,seller,10.0,,0,1
4.5,4.0,1.5,3.0,4.0,3.5,3.5,1.0,4.5,2.5,seller,57.5,False,1,1
5.0,3.0,3.5,3.5,2.5,4.5,2.5,3.5,2.5,3.0,seller,60.0,False,1,1
4.0,1.5,4.0,3.0,3.0,3.5,3.0,2.5,3.5,3.5,seller,50.0,False,1,1
2.5,3.5,2.0,3.5,4.0,4.5,3.0,4.5,4.0,4.5,seller,90.0,False,1,1
4.5,3.0,3.0,2.5,4.0,4.5,2.5,1.0,4.0,3.5,seller,35.0,False,1,1
4.5,4.5,3.0,2.0,4.5,4.0,3.5,4.0,3.5,4.0,seller,25.0,False,1,1
4.5,2.5,2.5,3.0,3.0,4.5,2.5,4.5,4.5,4.0,seller,72.5,False,1,1
3.5,4.0,3.0,2.5,2.5,4.0,3.0,3.0,3.0,3.0,seller,100.0,False,1,1
3.0,3.0,4.0,3.0,3.0,4.0,2.5,3.5,3.5,3.5,seller,50.0,False,1,1
3.0,3.0,3.0,4.5,4.0,3.0,3.0,4.5,3.5,5.0,seller,0.0,True,1,1
3.5,2.0,5.0,3.5,3.5,3.0,1.0,4.0,4.0,4.5,seller,7.5,True,1,1
4.0,3.0,4.0,3.0,3.5,4.0,2.5,4.0,2.5,4.0,seller,55.0,False,1,1
4.5,2.5,4.0,3.5,4.0,4.0,3.0,4.0,3.5,3.5,seller,10.0,,0,0
5.0,1.5,1.5,3.5,4.0,4.0,2.5,4.0,2.5,2.5,seller,20.0,True,1,1
4.0,3.0,5.0,3.5,3.5,5.0,3.0,2.5,4.5,4.0,seller,70.0,False,1,1
4.0,3.0,2.5,3.0,4.5,5.0,2.5,3.0,3.0,3.0,seller,0.0,False,1,1
5.0,3.0,4.5,3.0,3.0,3.0,2.5,2.5,3.5,3.5,seller,70.0,False,1,1
1.5,3.0,4.0,4.5,3.0,3.0,3.5,4.0,3.0,4.0,seller,50.0,True,1,1
3.0,3.0,4.0,2.0,3.0,5.0,3.0,2.5,3.0,4.0,seller,75.0,True,1,1
3.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,3.5,3.0,seller,42.5,True,1,1
3.0,2.5,2.5,4.5,4.5,3.5,2.5,2.5,3.5,3.0,seller,40.0,False,1,1
3.5,3.5,2.5,3.5,3.5,4.0,3.5,2.5,3.5,2.5,seller,70.0,False,1,1
5.0,3.0,4.0,3.0,1.5,5.0,4.0,3.0,3.5,4.5,seller,50.0,False,1,1
4.5,2.5,2.0,4.0,4.0,4.5,3.5,3.5,2.5,4.5,seller,80.0,True,1,1
3.0,2.5,3.0,4.5,3.0,5.0,3.0,2.5,2.5,4.0,seller,75.0,False,1,1
3.0,2.0,2.5,4.5,4.0,4.5,2.0,2.5,4.0,3.5,seller,90.0,True,1,1
3.0,4.0,3.5,3.0,3.5,5.0,4.5,3.0,3.0,5.0,seller,80.0,False,1,1
3.0,4.5,2.0,3.5,3.5,4.0,3.0,2.5,3.0,4.0,seller,40.0,True,1,1
4.5,5.0,3.5,2.0,3.5,4.5,3.0,5.0,3.0,3.0,seller,90.0,False,1,1
4.5,3.0,4.5,3.5,4.0,5.0,3.0,4.0,2.5,3.5,seller,80.0,True,1,1
3.0,2.0,2.5,4.5,4.5,4.0,4.0,1.0,3.0,2.5,seller,90.0,True,1,1
4.5,3.0,3.0,3.5,4.5,3.5,2.5,2.5,4.5,5.0,seller,10.0,,0,0
3.0,4.5,2.0,3.0,4.5,3.5,2.5,3.5,3.0,4.0,seller,80.0,True,1,1
4.0,3.5,3.0,3.0,2.5,4.5,3.5,3.0,3.5,3.5,seller,65.0,True,1,1
4.5,3.0,2.5,4.0,4.5,4.5,4.0,2.5,2.5,3.5,seller,70.0,False,1,1
5.0,2.5,3.5,2.5,3.0,4.5,3.0,2.0,3.0,3.0,seller,30.0,False,1,1
3.0,2.0,3.5,4.0,5.0,4.5,3.0,4.5,3.5,3.5,seller,50.0,False,1,1
5.0,3.0,2.0,3.0,5.0,3.5,3.0,2.0,4.5,5.0,seller,55.0,True,1,1
4.5,3.0,2.5,2.5,4.5,5.0,4.5,5.0,4.5,4.5,seller,80.0,True,1,1
3.0,3.0,4.0,3.0,3.0,3.5,3.0,3.0,3.5,3.5,seller,10.0,True,1,1
4.5,4.5,3.0,2.5,4.5,5.0,4.0,4.5,3.0,4.0,seller,90.0,False,1,1
4.0,3.0,3.0,3.0,2.5,3.0,4.0,4.0,3.0,2.0,seller,70.0,True,1,1
4.5,3.0,3.0,2.5,4.0,2.5,4.0,3.0,2.0,4.0,seller,60.0,False,1,1
3.0,4.0,3.5,3.0,1.5,3.0,2.0,3.0,3.5,4.5,seller,0.0,True,1,1
5.0,4.0,1.5,4.0,4.0,4.0,2.5,3.5,3.0,3.5,seller,60.0,True,1,1
5.0,4.0,2.5,2.5,4.0,4.5,3.0,4.5,4.5,3.0,seller,50.0,False,1,1
3.0,2.5,3.0,4.5,3.5,3.5,3.5,3.5,3.5,3.0,seller,25.0,,0,1
4.5,3.0,2.5,3.0,3.0,4.0,2.5,2.5,4.0,4.0,seller,50.0,False,1,1
4.0,3.0,3.5,3.5,4.5,4.5,3.5,3.0,4.0,4.0,seller,30.0,,0,0
2.5,2.5,4.5,3.5,2.0,4.0,3.0,2.5,3.0,3.0,seller,70.0,False,1,1
5.0,3.0,2.5,3.0,3.0,3.0,3.5,2.5,3.5,4.5,seller,30.0,True,1,1
4.0,1.0,1.0,5.0,5.0,4.0,3.0,2.5,3.0,3.5,seller,50.0,True,1,1
4.5,3.0,1.5,2.5,3.5,3.0,3.0,4.5,3.0,5.0,seller,90.0,True,1,1
4.0,2.0,3.0,3.5,3.0,4.0,2.5,2.0,1.5,4.0,seller,50.0,False,1,1
4.5,3.0,4.5,3.5,3.0,4.0,3.0,3.0,3.5,3.0,seller,70.0,False,1,1
5.0,3.0,4.5,4.5,4.0,3.5,3.0,3.0,3.0,3.5,seller,37.5,False,1,1
4.0,3.5,3.0,3.0,3.0,5.0,3.0,3.5,4.0,3.5,seller,60.0,False,1,1
4.0,2.5,1.0,2.5,4.5,4.0,3.0,3.0,3.0,2.5,seller,78.0,False,1,1
3.0,3.0,4.0,3.0,3.0,1.5,2.0,2.5,3.0,4.0,seller,50.0,True,1,1
3.5,4.0,2.0,3.0,4.0,4.0,2.5,4.0,3.0,4.5,seller,80.0,True,1,1
5.0,3.0,4.5,3.0,3.0,3.0,3.0,4.5,3.0,3.0,seller,70.0,False,1,1
4.0,3.5,3.5,3.5,3.0,4.5,3.0,4.0,3.5,4.5,seller,20.0,,0,1
4.5,2.5,3.5,4.0,4.0,3.5,2.5,3.0,3.0,4.5,seller,75.0,False,1,1
5.0,4.5,3.0,5.0,5.0,4.5,3.5,4.0,3.0,4.5,seller,50.0,False,1,1
4.0,3.0,3.5,2.5,4.0,4.0,3.0,4.5,3.0,3.0,seller,80.0,True,1,1
5.0,3.0,3.0,3.0,3.0,3.0,3.0,4.5,2.5,3.0,seller,65.0,False,1,1
4.0,2.0,1.5,4.0,3.5,4.0,1.5,2.0,3.0,4.5,seller,30.0,True,1,1
4.0,3.0,3.0,3.5,4.5,4.5,1.5,3.0,2.5,4.0,seller,40.0,False,1,1
4.0,3.0,3.0,4.0,3.0,3.5,4.0,3.0,3.0,3.0,seller,30.0,False,1,1
4.0,3.5,1.0,4.5,2.0,3.0,2.5,4.0,4.0,4.5,seller,100.0,True,1,1
3.0,4.0,2.5,4.0,3.5,3.5,2.5,2.0,3.5,5.0,seller,30.0,False,1,1
1.5,1.0,3.5,4.5,4.0,3.0,3.0,4.0,3.0,3.5,seller,60.0,,0,0
3.0,3.5,3.0,3.5,3.5,2.5,1.5,5.0,4.5,2.0,seller,35.0,False,1,1
4.5,2.5,3.5,2.5,4.5,4.0,1.5,3.5,3.0,4.5,seller,65.0,False,1,1
4.0,3.5,2.5,3.5,3.5,4.0,2.0,2.5,3.5,4.0,seller,65.0,False,1,1
3.0,4.0,3.0,3.0,3.0,4.5,2.5,2.0,4.0,4.0,seller,65.0,False,1,1
2.0,2.5,3.0,3.5,2.5,3.0,3.5,5.0,3.0,3.0,seller,10.0,True,1,1
3.0,3.5,1.5,3.0,4.5,4.5,3.0,4.0,3.5,4.5,seller,87.5,True,1,1
5.0,3.0,5.0,2.5,3.0,5.0,3.5,4.5,3.0,3.0,seller,75.0,True,1,1
3.5,2.5,2.5,3.5,3.5,4.0,3.0,2.5,3.5,4.5,seller,50.0,False,1,1
4.5,2.5,2.5,4.0,5.0,4.5,4.5,3.0,4.5,3.0,seller,30.0,,0,0
4.5,2.5,4.0,3.5,3.0,3.5,2.0,3.5,2.0,4.0,seller,50.0,False,1,1
5.0,3.0,5.0,3.0,3.5,4.0,4.0,4.0,3.0,3.0,seller,55.0,False,1,1
4.5,2.0,1.5,3.0,3.5,4.0,2.5,3.5,2.5,4.0,seller,80.0,True,1,1
4.0,2.5,3.5,3.5,3.0,4.0,3.0,3.0,3.0,4.0,seller,10.0,,0,0
4.5,3.5,4.0,4.0,3.5,2.5,3.5,3.5,2.5,2.0,seller,87.5,False,1,1
5.0,3.0,4.5,3.0,3.5,4.5,3.0,3.0,3.0,3.0,seller,30.0,True,1,1
5.0,3.0,4.0,2.5,3.5,4.0,3.0,3.0,2.5,4.0,seller,45.0,False,1,1
4.5,3.0,5.0,3.0,3.5,5.0,3.5,5.0,3.0,4.0,seller,70.0,False,1,1
4.5,3.0,4.0,3.5,4.5,5.0,4.0,1.5,3.5,3.5,seller,55.0,False,1,1
2.5,3.0,2.0,4.5,3.5,3.0,3.0,4.0,3.0,3.5,seller,80.0,False,1,1
5.0,2.5,4.5,2.5,2.5,4.5,1.5,3.5,3.5,4.5,seller,65.0,False,1,1
4.0,2.0,3.0,3.0,3.0,2.0,3.0,2.5,4.5,4.0,seller,30.0,,0,1
4.0,3.0,1.5,3.0,2.5,4.5,3.0,5.0,3.0,4.0,seller,95.0,False,1,1
4.0,2.5,4.0,3.0,4.5,4.0,4.5,4.0,3.5,4.0,seller,50.0,True,1,1
